scenario,tau_t,config,threshold,n_chains,attack_chain_total_strength,attack_chain_mean_strength,attack_chain_n_events,attack_chain_n_pairs,attack_chain_is_cross_domain,attack_connectivity,noise_inclusion,max_other_chain_strength,separation_ratio
mmsi,150.0,evidence-light,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,300.0,current,0.0,1,4.016481025276129,0.15448003943369729,8,26,True,1.0,0,0.0,0.0
mmsi,300.0,current,0.05,1,3.8064512151714625,0.20033953764060328,8,19,True,1.0,0,0.0,0.0
mmsi,300.0,current,0.1,1,3.5685239470216543,0.2379015964681103,8,15,True,1.0,0,0.0,0.0
mmsi,300.0,current,0.15,1,3.07525476085258,0.27956861462296184,6,11,True,0.75,0,0.0,0.0
mmsi,300.0,current,0.2,1,2.3957376924190426,0.3422482417741489,6,7,True,0.75,0,0.0,0.0
mmsi,300.0,current,0.3,1,1.8745588983086103,0.37491177966172207,5,5,True,0.625,0,0.0,0.0
mmsi,300.0,current,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,300.0,uniform,0.0,1,3.4118813161347243,0.13122620446672018,8,26,True,1.0,0,0.0,0.0
mmsi,300.0,uniform,0.05,1,3.1480131837634224,0.1967508239852139,8,16,True,1.0,0,0.0,0.0
mmsi,300.0,uniform,0.1,1,2.909034751708302,0.2237719039775617,8,13,True,1.0,0,0.0,0.0
mmsi,300.0,uniform,0.15,1,2.5641703402019824,0.2564170340201982,6,10,True,0.75,0,0.0,0.0
mmsi,300.0,uniform,0.2,1,1.6911811744549397,0.3382362348909879,5,5,True,0.625,0,0.0,0.0
mmsi,300.0,uniform,0.3,1,1.489526560605885,0.37238164015147124,5,4,True,0.625,0,0.0,0.0
mmsi,300.0,uniform,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,300.0,topology-heavy,0.0,1,4.448503209535693,0.17109627728983437,8,26,True,1.0,0,0.0,0.0
mmsi,300.0,topology-heavy,0.05,1,4.272221436361044,0.21361107181805222,8,20,True,1.0,0,0.0,0.0
mmsi,300.0,topology-heavy,0.1,1,3.928809519249318,0.2619206346166212,8,15,True,1.0,0,0.0,0.0
mmsi,300.0,topology-heavy,0.15,1,3.5079493758404707,0.2923291146533726,6,12,True,0.75,0,0.0,0.0
mmsi,300.0,topology-heavy,0.2,1,2.8130277090675864,0.3516284636334483,6,8,True,0.75,0,0.0,0.0
mmsi,300.0,topology-heavy,0.3,1,2.314264427482693,0.38571073791378213,6,6,True,0.75,0,0.0,0.0
mmsi,300.0,topology-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,300.0,cross-heavy,0.0,1,3.3398972788118573,0.1284575876466099,8,26,True,1.0,0,0.0,0.0
mmsi,300.0,cross-heavy,0.05,1,3.0793931709307816,0.19246207318317385,8,16,True,1.0,0,0.0,0.0
mmsi,300.0,cross-heavy,0.1,1,2.7035829448027817,0.2457802677093438,7,11,True,0.875,0,0.0,0.0
mmsi,300.0,cross-heavy,0.15,1,2.443701333390608,0.2715223703767342,6,9,True,0.75,0,0.0,0.0
mmsi,300.0,cross-heavy,0.2,1,1.5838698942391913,0.39596747355979783,5,4,True,0.625,0,0.0,0.0
mmsi,300.0,cross-heavy,0.3,1,1.5838698942391913,0.39596747355979783,5,4,True,0.625,0,0.0,0.0
mmsi,300.0,cross-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,300.0,evidence-light,0.0,1,2.7802838617094867,0.1069339946811341,8,26,True,1.0,0,0.0,0.0
mmsi,300.0,evidence-light,0.05,1,2.5002257508314165,0.1923250577562628,7,13,True,0.875,0,0.0,0.0
mmsi,300.0,evidence-light,0.1,1,2.2891060213688688,0.22891060213688688,7,10,True,0.875,0,0.0,0.0
mmsi,300.0,evidence-light,0.15,1,2.053488525187342,0.2566860656484177,7,8,True,0.875,0,0.0,0.0
mmsi,300.0,evidence-light,0.2,1,1.159324892889312,0.386441630963104,4,3,False,0.5,0,0.0,0.0
mmsi,300.0,evidence-light,0.3,1,1.159324892889312,0.386441630963104,4,3,False,0.5,0,0.0,0.0
mmsi,300.0,evidence-light,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,600.0,current,0.0,1,7.0576389395200145,0.27144765152000055,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,current,0.05,1,7.0576389395200145,0.27144765152000055,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,current,0.1,1,6.900556156245737,0.28752317317690573,8,24,True,1.0,0,0.0,0.0
mmsi,600.0,current,0.15,1,6.335827651756092,0.3334646132503206,8,19,True,1.0,0,0.0,0.0
mmsi,600.0,current,0.2,1,5.696339918479315,0.37975599456528764,8,15,True,1.0,0,0.0,0.0
mmsi,600.0,current,0.3,1,4.5189784108268585,0.4518978410826858,6,10,True,0.75,0,0.0,0.0
mmsi,600.0,current,0.5,1,2.3205333217509287,0.5801333304377322,5,4,True,0.625,0,0.0,0.0
mmsi,600.0,uniform,0.0,1,5.946080989814491,0.22869542268517273,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,uniform,0.05,1,5.946080989814491,0.22869542268517273,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,uniform,0.1,1,5.50706007076888,0.275353003538444,8,20,True,1.0,0,0.0,0.0
mmsi,600.0,uniform,0.15,1,4.781956090803197,0.3415682922002284,8,14,True,1.0,0,0.0,0.0
mmsi,600.0,uniform,0.2,1,4.27113278090871,0.3882847982644282,7,11,True,0.875,0,0.0,0.0
mmsi,600.0,uniform,0.3,1,3.3787052079871813,0.4826721725695973,6,7,True,0.75,0,0.0,0.0
mmsi,600.0,uniform,0.5,1,1.7633762849465535,0.5877920949821845,4,3,False,0.5,0,0.0,0.0
mmsi,600.0,topology-heavy,0.0,1,7.827961544453734,0.3010754440174513,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,topology-heavy,0.05,1,7.827961544453734,0.3010754440174513,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,topology-heavy,0.1,1,7.680209616560141,0.32000873402333924,8,24,True,1.0,0,0.0,0.0
mmsi,600.0,topology-heavy,0.15,1,7.203641265740468,0.3601820632870234,8,20,True,1.0,0,0.0,0.0
mmsi,600.0,topology-heavy,0.2,1,6.855947386308196,0.38088596590601087,8,18,True,1.0,0,0.0,0.0
mmsi,600.0,topology-heavy,0.3,1,5.435951510680646,0.4529959592233872,6,12,True,0.75,0,0.0,0.0
mmsi,600.0,topology-heavy,0.5,1,2.3104031938090315,0.5776007984522579,5,4,True,0.625,0,0.0,0.0
mmsi,600.0,cross-heavy,0.0,1,5.838042405063442,0.2245400925024401,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,cross-heavy,0.05,1,5.838042405063442,0.2245400925024401,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,cross-heavy,0.1,1,5.19321670256042,0.2885120390311344,8,18,True,1.0,0,0.0,0.0
mmsi,600.0,cross-heavy,0.15,1,4.300457631035372,0.39095069373048835,7,11,True,0.875,0,0.0,0.0
mmsi,600.0,cross-heavy,0.2,1,4.119486322840267,0.4119486322840267,7,10,True,0.875,0,0.0,0.0
mmsi,600.0,cross-heavy,0.3,1,3.500933037637245,0.500133291091035,6,7,True,0.75,0,0.0,0.0
mmsi,600.0,cross-heavy,0.5,1,2.3364520942310536,0.5841130235577634,5,4,True,0.625,0,0.0,0.0
mmsi,600.0,evidence-light,0.0,1,4.795776618961264,0.18445294688312552,8,26,True,1.0,0,0.0,0.0
mmsi,600.0,evidence-light,0.05,1,4.578754325156568,0.2289377162578284,8,20,True,1.0,0,0.0,0.0
mmsi,600.0,evidence-light,0.1,1,3.9705480491401444,0.33087900409501203,7,12,True,0.875,0,0.0,0.0
mmsi,600.0,evidence-light,0.15,1,3.4523675308857995,0.43154594136072494,7,8,True,0.875,0,0.0,0.0
mmsi,600.0,evidence-light,0.2,1,3.4523675308857995,0.43154594136072494,7,8,True,0.875,0,0.0,0.0
mmsi,600.0,evidence-light,0.3,2,2.5744150651781377,0.5148830130356276,4,5,False,0.5,0,0.35124687023563383,7.329360866478589
mmsi,600.0,evidence-light,0.5,1,1.763376284946553,0.5877920949821843,4,3,False,0.5,0,0.0,0.0
mmsi,1200.0,current,0.0,1,9.765369752288466,0.37559114431878715,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,current,0.05,1,9.765369752288466,0.37559114431878715,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,current,0.1,1,9.765369752288466,0.37559114431878715,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,current,0.15,1,9.659811965909483,0.3863924786363793,8,25,True,1.0,0,0.0,0.0
mmsi,1200.0,current,0.2,1,9.494493976159315,0.39560391567330483,8,24,True,1.0,0,0.0,0.0
mmsi,1200.0,current,0.3,1,7.030066024022493,0.5021475731444638,8,14,True,1.0,0,0.0,0.0
mmsi,1200.0,current,0.5,1,4.563774925184892,0.6519678464549845,6,7,True,0.75,0,0.0,0.0
mmsi,1200.0,uniform,0.0,1,8.152333511231815,0.31355128889353134,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,uniform,0.05,1,8.152333511231815,0.31355128889353134,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,uniform,0.1,1,8.152333511231815,0.31355128889353134,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,uniform,0.15,1,7.73954564330473,0.33650198449151,8,23,True,1.0,0,0.0,0.0
mmsi,1200.0,uniform,0.2,1,6.5576805317653895,0.40985503323533684,8,16,True,1.0,0,0.0,0.0
mmsi,1200.0,uniform,0.3,1,4.445226741147346,0.635032391592478,6,7,True,0.75,0,0.0,0.0
mmsi,1200.0,uniform,0.5,1,4.445226741147346,0.635032391592478,6,7,True,0.75,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.0,1,10.854201151211946,0.4174692750466133,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.05,1,10.854201151211946,0.4174692750466133,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.1,1,10.761838088130336,0.43047352352521345,8,25,True,1.0,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.15,1,10.761838088130336,0.43047352352521345,8,25,True,1.0,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.2,1,10.593075973593706,0.4413781655664044,8,24,True,1.0,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.3,1,9.047941660102524,0.5026634255612513,8,18,True,1.0,0,0.0,0.0
mmsi,1200.0,topology-heavy,0.5,1,5.070646541355961,0.6338308176694951,6,8,True,0.75,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.0,1,8.028347023008406,0.3087825778080156,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.05,1,8.028347023008406,0.3087825778080156,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.1,1,8.028347023008406,0.3087825778080156,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.15,1,7.340022537614909,0.34952488274356713,8,21,True,1.0,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.2,1,5.752084226107997,0.47934035217566645,7,12,True,0.875,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.3,1,4.585544892379419,0.6550778417684884,6,7,True,0.75,0,0.0,0.0
mmsi,1200.0,cross-heavy,0.5,1,4.585544892379419,0.6550778417684884,6,7,True,0.75,0,0.0,0.0
mmsi,1200.0,evidence-light,0.0,1,6.490789629134801,0.2496457549667231,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,evidence-light,0.05,1,6.490789629134801,0.2496457549667231,8,26,True,1.0,0,0.0,0.0
mmsi,1200.0,evidence-light,0.1,1,5.957169931150779,0.31353525953425154,8,19,True,1.0,0,0.0,0.0
mmsi,1200.0,evidence-light,0.15,1,4.861890092314579,0.4861890092314579,7,10,True,0.875,0,0.0,0.0
mmsi,1200.0,evidence-light,0.2,1,4.543839739874939,0.5679799674843674,7,8,True,0.875,0,0.0,0.0
mmsi,1200.0,evidence-light,0.3,1,4.543839739874939,0.5679799674843674,7,8,True,0.875,0,0.0,0.0
mmsi,1200.0,evidence-light,0.5,2,3.3924520452618285,0.6784904090523657,4,5,False,0.5,0,0.523998755986717,6.47416049466313
mmsi,3600.0,current,0.0,1,12.360636671273632,0.47540910274129355,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,current,0.05,1,12.360636671273632,0.47540910274129355,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,current,0.1,1,12.360636671273632,0.47540910274129355,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,current,0.15,1,12.240023092132056,0.48960092368528224,8,25,True,1.0,0,0.0,0.0
mmsi,3600.0,current,0.2,1,12.240023092132056,0.48960092368528224,8,25,True,1.0,0,0.0,0.0
mmsi,3600.0,current,0.3,1,11.948669536796201,0.49786123069984173,8,24,True,1.0,0,0.0,0.0
mmsi,3600.0,current,0.5,1,5.498391847205447,0.7854845496007782,6,7,True,0.75,0,0.0,0.0
mmsi,3600.0,uniform,0.0,1,10.234740288788798,0.3936438572611076,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,uniform,0.05,1,10.234740288788798,0.3936438572611076,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,uniform,0.1,1,10.234740288788798,0.3936438572611076,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,uniform,0.15,1,10.234740288788798,0.3936438572611076,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,uniform,0.2,1,10.234740288788798,0.3936438572611076,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,uniform,0.3,1,5.369563910561212,0.7670805586516016,6,7,True,0.75,0,0.0,0.0
mmsi,3600.0,uniform,0.5,1,5.369563910561212,0.7670805586516016,6,7,True,0.75,0,0.0,0.0
mmsi,3600.0,topology-heavy,0.0,1,13.765024357798353,0.5294240137614751,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,topology-heavy,0.05,1,13.765024357798353,0.5294240137614751,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,topology-heavy,0.1,1,13.765024357798353,0.5294240137614751,8,26,True,1.0,0,0.0,0.0
mmsi,3600.0,topology-heavy,0.15,1,13.659487476049474,0.5463794990419789,8,25,True,1.0,0,0.0,0.0
mmsi,3600.0,topology-heavy,0.2,1,13.659487476049474,0.5463794990419789,8,25,True,1.0,0,0.0,0.0
